Date,A,AA,ABC,ABCB,ACLS,ACNB,ADBE,ADP,AEG,AIR
2005-01-03,17.081544876098633,74.4689712524414,14.537500381469728,16.624073028564453,31.559999465942383,23.446712493896484,30.84499931335449,34.77585983276367,13.65999984741211,13.609999656677246
2005-01-04,16.630901336669922,73.123291015625,14.422499656677246,16.332279205322266,29.559999465942383,23.53741455078125,30.030000686645508,34.2207145690918,13.5600004196167,12.850000381469728
2005-01-05,16.623748779296875,72.69075012207031,14.395000457763672,15.821642875671388,27.84000015258789,23.446712493896484,29.864999771118164,34.077964782714844,13.699999809265137,12.3100004196167
2005-01-06,16.258941650390625,73.00314331054688,14.517499923706056,16.153963088989258,27.76000022888184,23.53741455078125,29.3700008392334,33.84797668457031,13.949999809265137,12.220000267028809
2005-01-07,16.2446346282959,73.7480697631836,14.475000381469728,15.92701244354248,27.15999984741211,23.446712493896484,29.38999938964844,33.78453063964844,13.779999732971191,11.760000228881836
2005-01-10,16.165950775146484,73.21941375732422,14.475000381469728,16.226909637451172,27.959999084472656,23.446712493896484,29.40999984741211,33.80832290649414,13.84000015258789,11.960000038146973
2005-01-11,15.886981010437012,71.24894714355469,14.510000228881836,15.797327041625977,27.36000061035156,23.446712493896484,29.059999465942383,33.871768951416016,13.670000076293944,11.68000030517578
2005-01-12,15.865522384643556,70.72029113769531,14.515000343322754,15.351532936096191,29.239999771118164,23.446712493896484,29.489999771118164,33.56247329711914,13.84000015258789,11.649999618530272
2005-01-13,15.529327392578123,70.88849639892578,14.274999618530272,15.011107444763184,28.200000762939453,23.492063522338867,29.11000061035156,32.91215896606445,13.510000228881836,11.289999961853027
2005-01-14,15.77253246307373,71.84970092773438,14.317500114440918,15.440690994262695,29.15999984741211,23.446712493896484,29.114999771118164,33.625919342041016,13.4399995803833,11.56999969482422
2005-01-18,16.044349670410156,71.53730773925781,14.487500190734863,15.67574691772461,29.200000762939453,23.446712493896484,29.190000534057617,35.0058479309082,13.479999542236328,11.81999969482422
2005-01-19,15.779685020446776,70.11953735351562,14.375,15.894591331481934,28.920000076293945,23.446712493896484,28.940000534057617,34.83137512207031,13.260000228881836,11.609999656677246
2005-01-20,15.915594100952148,68.96610260009766,14.5024995803833,15.440690994262695,28.200000762939453,23.446712493896484,29.03499984741211,34.498287200927734,13.220000267028809,11.579999923706056
2005-01-21,15.593705177307127,69.51879119873047,14.2524995803833,15.732483863830566,28.1200008392334,23.35600852966309,28.53499984741211,33.96693420410156,13.229999542236328,11.31999969482422
2005-01-24,15.33619499206543,69.23043060302734,14.392499923706056,15.683852195739746,27.71999931335449,23.08390045166016,27.69499969482422,34.30002212524414,13.1899995803833,10.949999809265137
2005-01-25,15.593705177307127,68.17311096191406,14.130000114440918,15.643324851989746,28.0,23.038549423217773,27.790000915527344,34.60138702392578,13.390000343322754,11.0
2005-01-26,15.736766815185549,68.8219223022461,14.470000267028809,15.456902503967283,29.31999969482422,23.12925148010254,28.0049991607666,34.56173324584961,13.420000076293944,11.289999961853027
2005-01-27,15.736766815185549,69.8311767578125,14.364999771118164,15.805432319641112,29.68000030517578,23.446712493896484,28.084999084472656,34.22864532470703,13.300000190734863,11.5
2005-01-28,15.457797050476074,69.61490631103516,14.592499732971191,16.162067413330078,29.040000915527344,23.492063522338867,27.739999771118164,34.26036834716797,13.289999961853027,11.119999885559082
2005-01-31,15.81545066833496,70.91252899169922,14.56999969482422,16.486282348632812,29.8799991607666,23.58276557922364,28.450000762939453,34.482425689697266,13.56999969482422,11.649999618530272
2005-02-01,16.108726501464844,71.03267669677734,14.739999771118164,16.016170501708984,30.71999931335449,23.58276557922364,28.950000762939453,34.87895965576172,13.720000267028809,12.130000114440918
2005-02-02,16.23748207092285,70.84043884277344,14.710000038146973,15.546060562133787,30.68000030517578,22.675737380981445,31.145000457763672,34.625179290771484,13.800000190734863,12.229999542236328
2005-02-03,15.808297157287598,70.02342224121094,14.994999885559082,16.056697845458984,30.84000015258789,23.12925148010254,31.709999084472656,34.9820556640625,13.699999809265137,11.829999923706056
2005-02-04,16.05865478515625,70.57611083984375,14.899999618530272,16.194488525390625,34.31999969482422,23.12925148010254,31.9950008392334,35.01377868652344,13.699999809265137,11.829999923706056
2005-02-07,16.53791046142578,71.1768569946289,14.862500190734863,16.372806549072266,34.400001525878906,23.12925148010254,31.76000022888184,34.67276382446289,13.5600004196167,11.760000228881836
2005-02-08,16.988555908203125,72.08999633789062,15.032500267028809,16.534914016723633,35.599998474121094,23.00226783752441,31.850000381469727,34.7124137878418,13.59000015258789,11.56999969482422
2005-02-09,16.51645278930664,70.26371765136719,14.779999732971191,15.83785343170166,34.20000076293945,23.00226783752441,31.295000076293945,33.98279571533203,13.289999961853027,11.210000038146973
2005-02-10,16.48068618774414,70.81640625,14.875,15.781116485595703,33.68000030517578,23.038549423217773,31.34000015258789,33.72108459472656,13.220000267028809,11.3100004196167
2005-02-11,16.96709632873535,71.72955322265625,15.085000038146973,16.283647537231445,35.7599983215332,23.038549423217773,31.850000381469727,34.05417251586914,13.31999969482422,11.359999656677246
2005-02-14,17.18168830871582,71.82566833496094,15.052499771118164,16.2512264251709,36.20000076293945,23.020408630371094,31.73500061035156,33.744876861572266,13.470000267028809,11.279999732971191
2005-02-15,17.446352005004883,71.63343048095703,15.427499771118164,16.461965560913086,37.27999877929688,23.020408630371094,32.45500183105469,33.66556930541992,13.539999961853027,11.369999885559082
